candle_begin_time,symbol,close,offset
2023-06-10,ZRXUSDT,0.1732,0
2023-06-10,XVSUSDT,3.348,0
2023-06-10,ZENUSDT,6.112,0
2023-06-10,LEVERUSDT,0.00112,0
2023-06-10,1000XECUSDT,0.02038,0
2023-06-10,TUSDT,0.01849,0
2023-06-10,ANTUSDT,3.096,0
2023-06-10,USDCUSDT,0.99908,0
2023-06-10,FOOTBALLUSDT,377.7,0
2023-06-10,CKBUSDT,0.002829,0
2023-06-10,PERPUSDT,0.4069,0
2023-06-10,GTCUSDT,0.891,0
2023-06-10,ASTRUSDT,0.03651,0
2023-06-10,CTKUSDT,0.5902,0
2023-06-10,UMAUSDT,1.519,0
2023-06-10,DGBUSDT,0.00658,0
2023-06-10,BAKEUSDT,0.0913,0
2023-06-10,BLUEBIRDUSDT,6.44,0
2023-06-10,DEFIUSDT,399.8,0
2023-06-10,STMXUSDT,0.00348,0
2023-06-10,REEFUSDT,0.001445,0
2023-06-10,CVXUSDT,3.428,0
2023-06-10,DENTUSDT,0.00063,0
2023-06-10,OGNUSDT,0.067,0
2023-06-10,IOTXUSDT,0.01727,0
2023-06-10,HFTUSDT,0.3349,0
2023-06-10,DARUSDT,0.0923,0
2023-06-10,FLMUSDT,0.0574,0
2023-06-10,LPTUSDT,3.753,0
2023-06-10,IOSTUSDT,0.007599,0
2023-06-10,API3USDT,0.948,0
2023-06-10,ATAUSDT,0.0867,0
2023-06-10,GMXUSDT,44.97,0
2023-06-10,HOTUSDT,0.001246,0
2023-06-10,SPELLUSDT,0.0004305,0
2023-06-10,RVNUSDT,0.01709,0
2023-06-10,TLMUSDT,0.01026,0
2023-06-17,LEVERUSDT,0.001183,0
2023-06-17,1000XECUSDT,0.02022,0
2023-06-17,API3USDT,0.955,0
2023-06-17,ATAUSDT,0.0897,0
2023-06-17,FLMUSDT,0.0588,0
2023-06-17,HOTUSDT,0.001316,0
2023-06-17,KSMUSDT,22.86,0
2023-06-17,IOTAUSDT,0.1588,0
2023-06-17,IOSTUSDT,0.007568,0
2023-06-17,ZECUSDT,25.54,0
2023-06-17,CTKUSDT,0.5882,0
2023-06-17,DEFIUSDT,411.6,0
2023-06-17,LPTUSDT,3.968,0
2023-06-17,UNFIUSDT,3.226,0
2023-06-17,KLAYUSDT,0.1571,0
2023-06-17,CVXUSDT,3.404,0
2023-06-17,TLMUSDT,0.01049,0
2023-06-17,BAKEUSDT,0.0991,0
2023-06-17,BATUSDT,0.1742,0
2023-06-17,RSRUSDT,0.002103,0
2023-06-17,DGBUSDT,0.00611,0
2023-06-17,XVSUSDT,3.513,0
2023-06-17,REEFUSDT,0.001565,0
2023-06-17,SKLUSDT,0.02544,0
2023-06-17,ZRXUSDT,0.1778,0
2023-06-17,LRCUSDT,0.2172,0
2023-06-17,SPELLUSDT,0.0004487,0
2023-06-17,ZENUSDT,6.39,0
2023-06-17,ENSUSDT,7.829,0
2023-06-17,BALUSDT,4.416,0
2023-06-17,QTUMUSDT,2.08,0
2023-06-17,OGNUSDT,0.0724,0
2023-06-17,ARUSDT,5.019,0
2023-06-17,PERPUSDT,0.4151,0
2023-06-17,BTCDOMUSDT,1764.2,0
2023-06-17,DARUSDT,0.0981,0
