candle_begin_time,symbol,close,offset
2023-06-10,LEVERUSDT,0.00112,0
2023-06-10,1000XECUSDT,0.02038,0
2023-06-10,1000SHIBUSDT,0.006847,0
2023-06-10,ANKRUSDT,0.01998,0
2023-06-10,TUSDT,0.01849,0
2023-06-10,PEOPLEUSDT,0.01195,0
2023-06-10,1000FLOKIUSDT,0.02137,0
2023-06-10,CKBUSDT,0.002829,0
2023-06-10,HBARUSDT,0.04536,0
2023-06-10,AMBUSDT,0.00735,0
2023-06-10,ASTRUSDT,0.03651,0
2023-06-10,ZILUSDT,0.01758,0
2023-06-10,RSRUSDT,0.001935,0
2023-06-10,KEYUSDT,0.005221,0
2023-06-10,DGBUSDT,0.00658,0
2023-06-10,SKLUSDT,0.02387,0
2023-06-10,ROSEUSDT,0.0442,0
2023-06-10,VETUSDT,0.01553,0
2023-06-10,STMXUSDT,0.00348,0
2023-06-10,GALAUSDT,0.02109,0
2023-06-10,LINAUSDT,0.01,0
2023-06-10,JASMYUSDT,0.003486,0
2023-06-10,CELRUSDT,0.01373,0
2023-06-10,REEFUSDT,0.001445,0
2023-06-10,DENTUSDT,0.00063,0
2023-06-10,IOTXUSDT,0.01727,0
2023-06-10,ACHUSDT,0.01895,0
2023-06-10,IOSTUSDT,0.007599,0
2023-06-10,TRUUSDT,0.03222,0
2023-06-10,HOTUSDT,0.001246,0
2023-06-10,SPELLUSDT,0.0004305,0
2023-06-10,XEMUSDT,0.0263,0
2023-06-10,RVNUSDT,0.01709,0
2023-06-10,ARPAUSDT,0.04353,0
2023-06-10,ONEUSDT,0.01044,0
2023-06-10,TLMUSDT,0.01026,0
2023-06-10,1000PEPEUSDT,0.0009292,0
2023-06-17,LEVERUSDT,0.001183,0
2023-06-17,1000XECUSDT,0.02022,0
2023-06-17,XEMUSDT,0.0261,0
2023-06-17,CKBUSDT,0.002672,0
2023-06-17,GALAUSDT,0.02327,0
2023-06-17,ASTRUSDT,0.03973,0
2023-06-17,AMBUSDT,0.00811,0
2023-06-17,HBARUSDT,0.04571,0
2023-06-17,IOTXUSDT,0.01802,0
2023-06-17,HOTUSDT,0.001316,0
2023-06-17,ANKRUSDT,0.01999,0
2023-06-17,PEOPLEUSDT,0.0122,0
2023-06-17,IOSTUSDT,0.007568,0
2023-06-17,JASMYUSDT,0.003858,0
2023-06-17,ZILUSDT,0.01763,0
2023-06-17,RVNUSDT,0.01721,0
2023-06-17,TLMUSDT,0.01049,0
2023-06-17,STMXUSDT,0.00348,0
2023-06-17,1000PEPEUSDT,0.0010003,0
2023-06-17,KEYUSDT,0.006276,0
2023-06-17,1000FLOKIUSDT,0.02245,0
2023-06-17,ROSEUSDT,0.04631,0
2023-06-17,DENTUSDT,0.000676,0
2023-06-17,RSRUSDT,0.002103,0
2023-06-17,ACHUSDT,0.0201,0
2023-06-17,DGBUSDT,0.00611,0
2023-06-17,REEFUSDT,0.001565,0
2023-06-17,ONEUSDT,0.01115,0
2023-06-17,SKLUSDT,0.02544,0
2023-06-17,VETUSDT,0.01499,0
2023-06-17,SPELLUSDT,0.0004487,0
2023-06-17,TRUUSDT,0.03876,0
2023-06-17,1000SHIBUSDT,0.00697,0
2023-06-17,LINAUSDT,0.014,0
2023-06-17,TUSDT,0.01838,0
2023-06-17,COTIUSDT,0.04538,0
2023-06-17,CELRUSDT,0.01491,0
2023-06-24,DENTUSDT,0.000797,0
2023-06-24,1000SHIBUSDT,0.007805,0
2023-06-24,IOTXUSDT,0.02044,0
2023-06-24,REEFUSDT,0.001724,0
2023-06-24,STMXUSDT,0.00404,0
2023-06-24,1000FLOKIUSDT,0.02712,0
2023-06-24,GALAUSDT,0.02654,0
2023-06-24,ROSEUSDT,0.05099,0
2023-06-24,LINAUSDT,0.01341,0
2023-06-24,HBARUSDT,0.05117,0
2023-06-24,KEYUSDT,0.006204,0
2023-06-24,ACHUSDT,0.02208,0
